Depth	2004-06-21	2004-07-06	2004-08-03
0	20.6	21.9	24.3
1	20.6	21.8	24
2	20.6	21.7	24
3	20.6	21.5	23.8
4	20.6	21.4	23.5
5	20.6	21.2	23.5
6	20.6	21	23.2
7	20.6	20.9	23.1
8	20.5	20.9	23.1
9	17.3	20.9	21
10	16	20.9	18.9
11	15.5	20.8	17.6
12	14.7	19	16.1
13	13.9	18	14.8
14	13.4	17.3	14.1
15	12.7	16.7	13.6
16	12.6	16	13
17	12.4	15.5	12.7
18	12.2	15	12.3
19	11.9	14.5	11.9
20	11.8	14.1	11.9
21	11.6	13.5	11.9
22	11.5	13.3	11.9
23	11.5	13	11.8
24	11.5	12.8	11.8
